run_id,group,architecture,attack,target_uav,run_epoch,post_fix,duration_sec,errored,valid,exclusion_reason,detected,mttd_s,isolation_success,time_to_isolation_s,mttr_functional_s,degradation_stopped,total_response_time_s,mission_degradation_m,stabilisation_level_m,residual_mission_func,baseline_track_error_m,phase_excess_m,phase_peak_m,phase_baseline_m,geometry_excess_m,geometry_peak_m,geometry_baseline_m,legacy_coordination_loss,legacy_coordination_restored,belief_peak_horiz_m,ratio_peak,ratio_n_above,ratio_maxcons_post,ratio_maxcons_full,ratio_maxcons_post_fleet,ratio_maxcons_full_fleet,ratio_first_cross_s,mesh_pub_msgs,mesh_pub_bytes,mesh_del_msgs,mesh_drop_msgs,fp_events_clean,fp_detectors,fp_gps,fp_heartbeat,fp_cross_check
A_comm_disruption_r1_1785310399,std_pass1,A,comm_disruption,uav_0,1785310399,True,157.7009003162384,False,True,,True,3.428455352783203,False,6.580352783203125e-05,0.0926370620727539,True,,0.3072368579436111,-0.21128536079489219,0.6666666666666666,0.2829074938517403,87.999017066048,122.85889970658252,34.85988264053452,0.0,31.587414754175498,35.188425750342546,0.33333333333333337,0.6666666666666666,1.0684,0.064,0,0,0,0,2,,0,0,0,0,0,,0,0,0
A_comm_disruption_r2_1785310621,std_pass1,A,comm_disruption,uav_0,1785310621,True,157.6979866027832,False,True,,True,3.438520908355713,True,5.364418029785156e-05,0.20168304443359375,True,,0.3920538266773592,-0.24988931511242396,1.0,0.3154053849372609,105.67665061622739,125.3132318377688,19.636581221541405,33.603542357259656,40.83399468236067,7.230452325101012,0.0,1.0,0.9773,0.0353,0,0,0,0,0,,0,0,0,0,0,,0,0,0
A_comm_disruption_r3_1785310843,std_pass1,A,comm_disruption,uav_0,1785310843,True,156.7103555202484,False,True,,True,3.369656801223755,True,5.340576171875e-05,0.05689835548400879,True,,1.8252568874071513,-0.20559952673929172,1.0,0.28216786938174465,110.40860478480607,115.11669447399373,4.708089689187659,35.07483815903861,38.163855244280526,3.089017085241916,0.0,1.0,0.9806,0.044,0,0,0,0,0,,0,0,0,0,0,,0,0,0
A_comm_disruption_r4_1785311064,std_pass1,A,comm_disruption,uav_0,1785311064,True,156.19681358337402,False,True,,True,3.414853096008301,True,5.507469177246094e-05,25.01117753982544,True,,8.006743040339245,-0.35435296658550863,1.0,0.43294213420785255,103.98063672951474,114.76753269564631,10.786895966131567,24.5005055510952,37.234724153994854,12.734218602899656,0.0,1.0,0.9672,0.0806,0,0,0,0,0,,0,0,0,0,0,,0,0,0
A_comm_disruption_r5_1785311285,std_pass1,A,comm_disruption,uav_0,1785311285,True,157.67728519439697,False,True,,True,3.418729782104492,True,6.341934204101562e-05,0.1233818531036377,True,,0.9099000589390429,-0.2216423596794412,1.0,0.29574854561377606,98.41540353894723,117.0137869470168,18.598383408069566,31.04415098911059,37.982107647857305,6.937956658746714,0.0,1.0,0.9613,0.0274,0,0,0,0,0,,0,0,0,0,0,,0,0,0
A_command_injection_r1_1785313599,std_pass1,A,command_injection,uav_0,1785313599,True,91.63647222518921,True,False,errored,,,,,,,,,,,,,,,,,,,,0.0008,,,,,,,,0,0,0,0,0,,0,0,0
A_command_injection_r2_1785313754,std_pass1,A,command_injection,uav_0,1785313754,True,91.62346005439758,True,False,errored,,,,,,,,,,,,,,,,,,,,0.0011,,,,,,,,0,0,0,0,0,,0,0,0
A_command_injection_r3_1785313910,std_pass1,A,command_injection,uav_0,1785313910,True,92.12963771820068,True,False,errored,,,,,,,,,,,,,,,,,,,,0.0008,,,,,,,,0,0,0,0,0,,0,0,0
A_command_injection_r4_1785314067,std_pass1,A,command_injection,uav_0,1785314067,True,91.11078214645386,True,False,errored,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,0,0,0,0,0,,0,0,0
A_command_injection_r5_1785314222,std_pass1,A,command_injection,uav_0,1785314222,True,91.62232851982117,True,False,errored,,,,,,,,,,,,,,,,,,,,0.0009,,,,,,,,0,0,0,0,0,,0,0,0
A_gps_spoofing_r1_1785307071,std_pass1,A,gps_spoofing,uav_0,1785307071,True,157.67880535125732,False,True,,True,2.913900136947632,True,4.863739013671875e-05,50.963844537734985,True,,49.85298105308275,49.18938473424168,0.6666666666666666,0.29719020939575014,15.438229598699024,19.058957513444568,3.620727914745544,74.03509995087387,76.50183260840004,2.4667326575261654,0.33333333333333337,0.6666666666666666,50.9324,2.0,7,7,7,7,7,0.914,0,0,0,0,0,,0,0,0
A_gps_spoofing_r2_1785307293,std_pass1,A,gps_spoofing,uav_0,1785307293,True,156.71720838546753,False,True,,True,2.7450129985809326,True,4.3392181396484375e-05,,False,,49.73793538543601,,0.6666666666666666,0.25546320910989806,5.3708527319099915,9.14343094532859,3.7725782134185977,75.12551193435806,79.4236230102164,4.298111075858349,0.33333333333333337,0.6666666666666666,50.8777,2.0,7,7,7,7,7,0.752,0,0,0,0,0,,0,0,0
A_gps_spoofing_r3_1785307514,std_pass1,A,gps_spoofing,uav_0,1785307514,True,156.71964025497437,False,True,,True,3.04439640045166,True,5.1021575927734375e-05,50.528870582580566,True,,49.67911381016736,49.154224887216444,0.6666666666666666,0.2919117793269379,0.0406987543973969,19.308048271838288,19.26734951744089,61.80978777373825,78.95318514139007,17.14339736765182,0.33333333333333337,0.6666666666666666,50.8811,2.0,5,5,5,5,5,1.067,0,0,0,0,0,,0,0,0
A_gps_spoofing_r4_1785307736,std_pass1,A,gps_spoofing,uav_0,1785307736,True,157.73370337486267,False,True,,True,3.3248167037963867,True,4.506111145019531e-05,49.670212745666504,True,,49.8518967166484,49.24297296170392,0.6666666666666666,0.24505688416956564,15.255392769905342,18.487815950963352,3.23242318105801,73.29559609658085,76.30160706672974,3.006010970148889,0.33333333333333337,0.6666666666666666,50.8419,2.0,4,4,4,4,4,1.309,0,0,0,0,0,,0,0,0
A_gps_spoofing_r5_1785307958,std_pass1,A,gps_spoofing,uav_0,1785307958,True,157.21482872962952,False,True,,True,2.841505527496338,True,4.3392181396484375e-05,51.140825271606445,True,,49.906403235800425,49.27059104916645,0.6666666666666666,0.25335255716237903,16.17993341756832,19.71075476486385,3.5308213472955288,75.06016759184772,77.15611432221672,2.0959467303690067,0.33333333333333337,0.6666666666666666,50.7482,2.0,7,7,7,7,7,0.841,0,0,0,0,0,,0,0,0
A_none_r1_1785303742,std_pass1,A,none,uav_0,1785303742,True,157.203795671463,False,True,,,,,,,,,,,1.0,,0.0,12.368023159598295,12.51498710922263,0.024104645127473567,6.8532858808241475,6.829181235696674,0.0,1.0,0.9337,0.029,0,0,0,0,0,,0,0,0,0,0,,0,0,0
A_none_r2_1785303964,std_pass1,A,none,uav_0,1785303964,True,165.2077066898346,False,True,,,6.384560585021973,,9.799003601074219e-05,,,,,,0.6666666666666666,,2.3109598790443897,6.233752357693618,3.922792478649228,8.627004294690332,12.176307961953764,3.549303667263432,0.33333333333333337,0.6666666666666666,0.9538,0.0398,0,0,0,1,1,,0,0,0,0,3,heartbeat,0,3,0
A_none_r3_1785304188,std_pass1,A,none,uav_0,1785304188,True,157.2082381248474,False,True,,,,,,,,,,,1.0,,0.13090367315334106,3.5164118897217804,3.3855082165684394,0.18669899507654364,2.2655827526532297,2.078883757576686,0.0,1.0,0.9397,0.0585,0,0,0,0,0,,0,0,0,0,0,,0,0,0
A_none_r4_1785304410,std_pass1,A,none,uav_0,1785304410,True,156.71742916107178,False,True,,,,,,,,,,,1.0,,0.03392781771029263,2.049701199469723,2.0157733817594305,0.009701577511935788,1.9895329253473673,1.9798313478354315,0.0,1.0,1.0522,0.0489,0,0,0,0,0,,0,0,0,0,0,,0,0,0
A_none_r5_1785304631,std_pass1,A,none,uav_0,1785304631,True,157.67846488952637,False,True,,,,,,,,,,,1.0,,0.0055865849580811755,3.380610515940816,3.375023930982735,0.043949417137833624,2.047909482528346,2.0039600653905123,0.0,1.0,1.069,0.0554,0,0,0,0,0,,0,0,0,0,0,,0,0,0
B_comm_disruption_r1_1785311508,std_pass1,B,comm_disruption,uav_0,1785311508,True,156.7187054157257,False,True,,True,3.4151790142059326,True,4.9114227294921875e-05,0.13541579246520996,True,,1.1954818606496864,-0.11856556705441607,1.0,0.2680606161224901,113.96106074687253,117.48053355190291,3.519472805030375,36.967765275674246,39.09391636078394,2.1261510851096967,0.0,1.0,0.9623,0.0449,0,0,0,0,0,,0,0,0,0,0,,0,0,0
B_comm_disruption_r2_1785311729,std_pass1,B,comm_disruption,uav_0,1785311729,True,157.19405388832092,False,True,,True,3.4230573177337646,True,6.437301635742188e-05,0.15598273277282715,True,,0.38473311189851883,-0.22142841013574202,1.0,0.2862857726164972,134.64252049074122,137.30726217623197,2.6647416854907533,38.0455790021457,39.73942983377014,1.6938508316244358,0.0,1.0,0.9541,0.0459,0,0,0,0,0,,0,0,0,0,0,,0,0,0
B_comm_disruption_r3_1785311950,std_pass1,B,comm_disruption,uav_0,1785311950,True,156.69818305969238,False,True,,True,3.3189284801483154,True,6.532669067382812e-05,0.13214683532714844,True,,1.0113497082544654,-0.17723730470230947,1.0,0.28797250658908546,137.3888244457326,139.9650934457203,2.5762689999876898,37.047069743521924,39.191267467947796,2.144197724425874,0.0,1.0,0.9505,0.0422,0,0,0,0,0,,0,0,0,0,0,,0,0,0
B_comm_disruption_r4_1785312171,std_pass1,B,comm_disruption,uav_0,1785312171,True,156.22325134277344,False,True,,True,3.521516799926758,True,6.175041198730469e-05,16.38948154449463,True,,4.980065382806189,-0.0730215896063634,1.0,0.29011113356047413,92.60145086480333,95.68044074999733,3.078989885194005,36.33717590136434,38.90645606368794,2.569280162323598,0.0,1.0,0.8849,0.0438,0,0,0,0,0,,0,0,0,0,0,,0,0,0
B_comm_disruption_r5_1785312392,std_pass1,B,comm_disruption,uav_0,1785312392,True,165.20687651634216,False,True,,True,3.3818657398223877,True,5.14984130859375e-05,,False,,2.303411449120001,,1.0,0.32108508958597604,3.483432358640613,6.581797407998579,3.098365049357966,3.110787849049301,5.26883341066675,2.1580455616174494,0.0,1.0,1.015,0.0476,0,0,0,0,0,,0,0,0,0,0,,0,0,0
B_command_injection_r1_1785314378,std_pass1,B,command_injection,uav_0,1785314378,True,91.62570548057556,True,False,errored,,,,,,,,,,,,,,,,,,,,0.0008,,,,,,,,0,0,0,0,0,,0,0,0
B_command_injection_r2_1785314534,std_pass1,B,command_injection,uav_0,1785314534,True,92.13027930259705,True,False,errored,,,,,,,,,,,,,,,,,,,,0.0009,,,,,,,,0,0,0,0,0,,0,0,0
B_command_injection_r3_1785314690,std_pass1,B,command_injection,uav_0,1785314690,True,91.63546252250671,True,False,errored,,,,,,,,,,,,,,,,,,,,0.0009,,,,,,,,0,0,0,0,0,,0,0,0
B_command_injection_r4_1785314846,std_pass1,B,command_injection,uav_0,1785314846,True,91.1214702129364,True,False,errored,,,,,,,,,,,,,,,,,,,,0.0008,,,,,,,,0,0,0,0,0,,0,0,0
B_command_injection_r5_1785315002,std_pass1,B,command_injection,uav_0,1785315002,True,91.60997128486633,True,False,errored,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,0,0,0,0,0,,0,0,0
B_gps_spoofing_r1_1785308180,std_pass1,B,gps_spoofing,uav_0,1785308180,True,157.19253277778625,False,True,,True,2.8416316509246826,True,4.792213439941406e-05,50.9220769405365,True,,49.87120971637268,49.12920129071751,0.6666666666666666,0.2626145593840957,16.29901725952172,18.592675620431407,2.2936583609096886,75.46393144965978,77.60798827056516,2.144056820905372,0.33333333333333337,0.6666666666666666,50.7922,2.0,7,7,7,7,7,0.871,0,0,0,0,0,,0,0,0
B_gps_spoofing_r2_1785308401,std_pass1,B,gps_spoofing,uav_0,1785308401,True,157.19850850105286,False,True,,True,3.0532946586608887,True,0.00011944770812988281,50.58983278274536,True,,49.88941486953257,49.1082257661485,0.6666666666666666,0.2786656703471232,16.474785670802873,23.04063376346221,6.565848092659337,67.06353287499827,72.59392919187562,5.5303963168773445,0.33333333333333337,0.6666666666666666,50.8701,2.0,7,7,7,7,7,1.03,0,0,0,0,0,,0,0,0
B_gps_spoofing_r3_1785308623,std_pass1,B,gps_spoofing,uav_0,1785308623,True,157.18051314353943,False,True,,True,3.002955913543701,True,4.458427429199219e-05,50.65003252029419,True,,49.71146552174883,49.089723761578135,0.6666666666666666,0.274631174893597,12.624595171075242,18.45298420838003,5.828389037304788,70.06980789147214,76.81300834242644,6.743200450954305,0.33333333333333337,0.6666666666666666,50.6065,2.0,5,5,5,5,5,1.012,0,0,0,0,0,,0,0,0
B_gps_spoofing_r4_1785308845,std_pass1,B,gps_spoofing,uav_0,1785308845,True,157.20896244049072,False,True,,True,2.88637113571167,True,4.4345855712890625e-05,50.99919104576111,True,,49.89466266169815,49.11300114200178,0.6666666666666666,0.27194924073957694,16.734225433593593,19.36810130043557,2.6338758668419757,77.19499969141718,78.27686788915918,1.0818681977420002,0.33333333333333337,0.6666666666666666,50.6716,2.0,7,7,7,7,7,0.835,0,0,0,0,0,,0,0,0
B_gps_spoofing_r5_1785309067,std_pass1,B,gps_spoofing,uav_0,1785309067,True,157.21428751945496,False,True,,True,3.0004794597625732,True,5.7697296142578125e-05,50.806689739227295,True,,49.9744531446505,49.18822166403429,0.6666666666666666,0.2375050567272563,2.7101908698654142,19.7710815287154,17.060890658849985,70.02580367131414,76.51208886047402,6.48628518915989,0.33333333333333337,0.6666666666666666,50.796,2.0,7,7,7,7,7,0.955,0,0,0,0,0,,0,0,0
B_none_r1_1785304853,std_pass1,B,none,uav_0,1785304853,True,157.21168994903564,False,True,,,,,,,,,,,1.0,,0.5425995561616901,4.183260910933598,3.6406613547719076,0.0,2.411798992359308,2.512269170825873,0.0,1.0,1.0291,0.0361,0,0,0,0,0,,0,0,0,0,0,,0,0,0
B_none_r2_1785305075,std_pass1,B,none,uav_0,1785305075,True,157.21461272239685,False,True,,,,,,,,,,,1.0,,0.0957161064489469,3.2270063899209163,3.1312902834719694,0.07472297519146376,1.81060432018008,1.7358813449886163,0.0,1.0,1.0353,0.0356,0,0,0,0,0,,0,0,0,0,0,,0,0,0
B_none_r3_1785305297,std_pass1,B,none,uav_0,1785305297,True,156.6969599723816,False,True,,,,,4.410743713378906e-05,,,,,,0.6666666666666666,,83.91178279391704,769.8233287209025,685.9115459269855,162.68013792364832,345.8446169023044,183.16447897865606,0.33333333333333337,0.6666666666666666,1.0313,0.0371,0,0,0,0,6,,0,0,0,0,2,gps,2,0,0
B_none_r4_1785305518,std_pass1,B,none,uav_0,1785305518,True,156.7587251663208,False,True,,,,,,,,,,,1.0,,0.08485638129738504,3.755888469194531,3.671032087897146,0.0,3.0946143581060683,3.229527159533651,0.0,1.0,1.0361,0.0343,0,0,0,0,0,,0,0,0,0,0,,0,0,0
B_none_r5_1785305739,std_pass1,B,none,uav_0,1785305739,True,157.1924114227295,False,True,,,,,,,,,,,1.0,,0.0,3.5894721263368297,3.725772407426547,0.06510340397214631,2.0214263262937244,1.9563229223215781,0.0,1.0,1.0272,0.0397,0,0,0,0,0,,0,0,0,0,0,,0,0,0
C_comm_disruption_r1_1785312616,std_pass1,C,comm_disruption,uav_0,1785312616,True,157.22771525382996,False,True,,True,3.4003357887268066,True,5.602836608886719e-05,0.06942939758300781,True,,2.0512488426200273,-0.2707077079136682,1.0,0.30077349550795773,124.35924303092753,128.26172377376497,3.90248074283744,36.27704958008013,38.757604609454354,2.480555029374224,0.0,1.0,0.9346,0.0362,0,0,0,0,0,,466,124015,932,0,0,,0,0,0
