loss_prob,n,detected,detection_rate,ci_low,ci_high,realized_loss_mean,mttd_median_s,mttd_min_s,mttd_max_s,mttd_mean_s,mttd_sd_s,mttd_early_lt2s,fp_preattack,no_attack,errors
0.0,28,27,0.9643,0.8229,0.9937,0.0000,7.477,5.475,8.184,7.389,0.483,0,1,2,0
0.1,29,29,1.0000,0.8830,1.0000,0.0994,7.446,6.625,8.259,7.448,0.312,0,0,0,1
0.2,30,28,0.9333,0.7868,0.9815,0.2019,7.482,5.447,8.103,7.413,0.460,0,0,0,0
0.3,30,19,0.6333,0.4551,0.7813,0.2937,7.474,6.621,8.194,7.485,0.273,0,0,0,0
0.4,28,16,0.5714,0.3907,0.7349,0.4000,7.520,6.553,7.644,7.457,0.253,0,0,1,1
0.45,30,14,0.4667,0.3023,0.6386,0.4502,7.508,6.555,8.307,7.511,0.351,0,0,0,0
0.5,30,14,0.4667,0.3023,0.6386,0.4985,7.509,6.366,8.235,7.539,0.439,0,1,0,0
0.55,26,12,0.4615,0.2876,0.6454,0.5493,8.071,7.358,8.297,7.858,0.404,0,0,2,2
0.6,12,4,0.3333,0.1381,0.6094,0.5974,7.756,7.271,8.310,7.773,0.577,0,0,0,0
0.65,12,3,0.2500,0.0889,0.5323,0.6452,8.284,7.313,8.323,7.973,0.572,0,0,0,0
